scorer,Unnamed: 1,Unnamed: 2,SchroederLab,SchroederLab.1,SchroederLab.2,SchroederLab.3,SchroederLab.4,SchroederLab.5,SchroederLab.6,SchroederLab.7,SchroederLab.8,SchroederLab.9,SchroederLab.10,SchroederLab.11,SchroederLab.12,SchroederLab.13,SchroederLab.14,SchroederLab.15,SchroederLab.16,SchroederLab.17
bodyparts,,,nose,nose,leftpupil,leftpupil,dorsalpupil,dorsalpupil,rightpupil,rightpupil,ventralpupil,ventralpupil,lefteyelid,lefteyelid,dorsaleyelid,dorsaleyelid,righteyelid,righteyelid,ventraleyelid,ventraleyelid
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0_img0008.png,211.69311105456558,181.04762716793465,376.3221163337795,180.92611091635032,395.1851433042111,164.59542807347898,415.2077357249654,186.7751777194704,395.35623774347494,204.12546172064924,367.49765107546483,163.7909595857634,396.2832203492354,155.31301795033784,429.7020833074827,191.59072169262402,395.8888974824714,206.37782919627327
labeled-data,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0_img0014.png,211.60148480646703,181.11639360209435,376.3230400842305,183.42479450235817,395.5817552027971,164.4665953761821,415.3997356643826,187.607521663809,394.7566183779802,203.30065890601824,368.94207804133754,168.62904493266018,393.63927874310735,155.03170971483186,428.88135165462154,193.60374227152852,395.5817552027971,206.92358085225828
labeled-data,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0_img0387.png,214.66201782226562,170.67958068847656,381.9276591325143,185.80156180959574,395.8074260836136,170.1855003173073,412.0149084030847,186.27840468574442,396.2632372775408,200.4649758132782,367.40380859375,169.22866821289062,390.95465087890625,155.86038208007812,426.05462646484375,190.9446563720703,395.7083598161081,205.94129968112108
labeled-data,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0_img0481.png,218.1089585891536,175.77915343081185,387.3147702161419,185.64484438513804,397.45710753423646,176.23521649526182,408.4383668128734,186.34298687053445,398.5269756056026,197.20939587879758,368.2451108306734,171.9046720826436,391.976309088204,155.92243652144955,428.2995717272814,191.5192339077454,398.7566514474984,207.50146946893943
labeled-data,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0_img0498.png,209.48683166503906,184.2502899169922,388.1619835440981,186.89804163396235,397.28289042804,177.05031073459867,407.7383765593731,188.1834612146355,397.73686741316794,196.87109249647017,367.1119384765625,169.1541748046875,391.3384704589844,155.92713928222656,426.21136474609375,191.57540893554688,394.4679870605469,206.07919311523438
labeled-data,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0_img0559.png,214.23329162597656,169.76039123535156,384.4053026773106,183.92917547809853,393.0153865601149,174.9506614304035,402.7180287040741,184.64148827358738,393.5349338660896,193.55516501618027,366.5153503417969,171.1739044189453,388.90753173828125,155.0748748779297,426.8050537109375,190.64468383789062,394.8544921875,205.0213165283203
labeled-data,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0_img0590.png,212.80583236597693,173.88390001743804,384.39262428424854,185.52857012602922,394.3506606682441,175.27420520172564,404.1413514961905,185.61677192096448,394.99879793983416,195.03027500217772,366.7263139798214,172.7328854965864,392.2411638194192,155.2486059252285,427.5146813267517,190.92873458538327,398.64528947637007,205.97334723980748
labeled-data,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0_img0610.png,213.71983337402344,174.49630737304688,384.39785038079907,185.01761004896417,393.8379096337367,175.11065986493406,404.10762980868736,186.64906270396872,393.88590995132284,195.41737706610164,366.258544921875,171.3789520263672,389.654052734375,154.68638610839844,427.4871826171875,191.04190063476562,395.51849365234375,205.36480712890625
